,STARTSTATE,IDENTIFIERSTATE,INTEGERSTATE,FRACTIONSTATE,CANTMOVESTATE,MODSTATE,MODEQSTATE,MINUSSTATE,MINUSEQSTATE,SUBSTATE,CARETSTATE,XOREQSTATE,TILDESTATE,BNOTEQSTATE,QUESTIONSTATE,LPARENSTATE,RPARENSTATE,LCURLYSTATE,RCURLYSTATE,LBRACKETSTATE,RBRACKETSTATE,PIPESTATE,BOREQSTATE,LORSTATE,COLONSTATE,SEMICOLONSTATE,ASSIGNMENTSTATE,EQSTATE,PLUSSTATE,PLUSEQSTATE,LANGLESTATE,LEQSTATE,RANGLESTATE,GEQSTATE,QUOTESTATE,QUOTESUSPENDSTATE,QUOTEFINISHSTATE,SHIFTLEFTSTATE,SHIFTRIGHTSTATE,SLASHSTATE,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTMAYBESTATE,BLOCKCOMMENTFINISHSTATE,AMPSTATE,BANDEQSTATE,ANDSTATE,STARSTATE,TIMESEQSTATE,COMMASTATE,DOTSTATE,EXCSTATE,NOTEQSTATE,PREPROCSTATE,WHITESPACESTATE,NEWLINESTATE,EOFSTATE
LETTERCHAR,IDENTIFIERSTATE,IDENTIFIERSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
DIGITCHAR,INTEGERSTATE,,INTEGERSTATE,FRACTIONSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
NEWLINECHAR,NEWLINESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,,NEWLINESTATE,,
WHITESPACECHAR,WHITESPACESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,WHITESPACESTATE,,
MODCHAR,MODSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
MINUSCHAR,MINUSSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
PLUSCHAR,PLUSSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
CARETCHAR,CARETSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
TILDECHAR,TILDESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
LPARENCHAR,LPARENSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
RPARENCHAR,RPARENSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
LCURLYCHAR,LCURLYSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
RCURLYCHAR,RCURLYSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
RBRACKETCHAR,RBRACKETSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
LBRACKETCHAR,LBRACKETSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
QUESTIONCHAR,QUESTIONSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
SEMICOLONCHAR,SEMICOLONSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
COLONCHAR,COLONSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
EQCHAR,ASSIGNMENTSTATE,,,,,MODEQSTATE,,MINUSEQSTATE,,,XOREQSTATE,,BNOTEQSTATE,,,,,,,,,BOREQSTATE,,,,,EQSTATE,,PLUSEQSTATE,,LEQSTATE,,GEQSTATE,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,BANDEQSTATE,,,TIMESEQSTATE,,,,NOTEQSTATE,,PREPROCSTATE,,,
LANGLECHAR,LANGLESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFTLEFTSTATE,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
RANGLECHAR,RANGLESTATE,,,,,,,SUBSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
EOFCHAR,EOFSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLASHCHAR,SLASHSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTFINISHSTATE,,,,,,,,,,,PREPROCSTATE,,,
STARCHAR,STARSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,BLOCKCOMMENTSTATE,LINECOMMENTSTATE,BLOCKCOMMENTMAYBESTATE,BLOCKCOMMENTMAYBESTATE,,,,,,,,,,,PREPROCSTATE,,,
HASHCHAR,PREPROCSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
AMPCHAR,AMPSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,ANDSTATE,,,,,,,,,PREPROCSTATE,,,
COMMACHAR,COMMASTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
DOTCHAR,DOTSTATE,,FRACTIONSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
EXCCHAR,EXCSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
QUOTECHAR,QUOTESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTEFINISHSTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
PIPECHAR,PIPESTATE,,,,,,,,,,,,,,,,,,,,,LORSTATE,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
BSLASHCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESUSPENDSTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
BADCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUOTESUSPENDSTATE,QUOTESTATE,,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,,,PREPROCSTATE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORRESPONDINGTOKEN,BAD,IDENTIFIER,INTEGER,FRACTION,BAD,MOD,MODEQ,MINUS,MINUSEQ,SUB,XOR,XOREQ,BNOT,BNOTEQ,QUESTION,LPAREN,RPAREN,LCURLY,RCURLY,LBRACKET,RBRACKET,BOR,BOREQ,LOR,COLON,SEMICOLON,ASSIGNMENT,EQ,PLUS,PLUSEQ,LT,LTEQ,GT,GTEQ,,,STRING,SHLEFT,SHRIGHT,DIVIDE,LINECOMMENT,,,BLOCKCOMMENT,AMP,BANDEQ,LAND,STAR,,COMMA,DOT,NOT,NOTEQ,PREPROC,WHITESPACE,NEWLINE,END
