,STARTSTATE,IDENTIFIERSTATE,INTEGERSTATE,CANTMOVESTATE,LPARENSTATE,RPARENSTATE,LCURLYSTATE,RCURLYSTATE,SEMICOLONSTATE,ASSIGNMENTSTATE,EQSTATE,PLUSSTATE,LANGLESTATE,RANGLESTATE,QUOTESTATE,QUOTESUSPENDSTATE,QUOTEFINISHSTATE,SHIFTLEFTSTATE,SLASHSTATE,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTMAYBESTATE,BLOCKCOMMENTFINISHSTATE,AMPSTATE,STARSTATE,COMMASTATE,DOTSTATE,EXCSTATE,NOTEQSTATE,PREPROCSTATE,WHITESPACESTATE,NEWLINESTATE,EOFSTATE
LETTERCHAR,IDENTIFIERSTATE,IDENTIFIERSTATE,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
DIGITCHAR,INTEGERSTATE,,INTEGERSTATE,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
NEWLINECHAR,NEWLINESTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,,NEWLINESTATE,,
WHITESPACECHAR,WHITESPACESTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,WHITESPACESTATE,,
PLUSCHAR,PLUSSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
LPARENCHAR,LPARENSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
RPARENCHAR,RPARENSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
LCURLYCHAR,LCURLYSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
RCURLYCHAR,RCURLYSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
SEMICOLONCHAR,SEMICOLONSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
EQCHAR,ASSIGNMENTSTATE,,,,,,,,,EQSTATE,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,NOTEQSTATE,,PREPROCSTATE,,,
LANGLECHAR,LANGLESTATE,,,,,,,,,,,,SHIFTLEFTSTATE,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
RANGLECHAR,RANGLESTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
EOFCHAR,EOFSTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLASHCHAR,SLASHSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,LINECOMMENTSTATE,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTFINISHSTATE,,,,,,,,PREPROCSTATE,,,
STARCHAR,STARSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,BLOCKCOMMENTSTATE,LINECOMMENTSTATE,BLOCKCOMMENTMAYBESTATE,BLOCKCOMMENTMAYBESTATE,,,,,,,,PREPROCSTATE,,,
HASHCHAR,PREPROCSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
AMPCHAR,AMPSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
COMMACHAR,COMMASTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
DOTCHAR,DOTSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
EXCCHAR,EXCSTATE,,,,,,,,,,,,,,QUOTESTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
QUOTECHAR,QUOTESTATE,,,,,,,,,,,,,,QUOTEFINISHSTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
BSLASHCHAR,,,,,,,,,,,,,,,QUOTESUSPENDSTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
BADCHAR,,,,,,,,,,,,,,,QUOTESUSPENDSTATE,QUOTESTATE,,,,LINECOMMENTSTATE,BLOCKCOMMENTSTATE,BLOCKCOMMENTSTATE,,,,,,,,PREPROCSTATE,,,
